rep_number,initial_mse_avg_true,initial_bias_avg_true,initial_bias_squared_avg_true,initial_variance_avg_true,targeted_mse_avg_true,targeted_bias_avg_true,targeted_bias_squared_avg_true,targeted_variance_avg_true,km_mse_avg_true,km_bias_avg_true,km_bias_squared_avg_true,km_variance_avg_true,initial_covers_avg_true,targeted_covers_avg_true,km_covers_avg_true
24,0.0018645558350198208,0.030677612579575863,0.0009411159135825513,0.0009234399214372695,6.13184820485979e-05,0.0006726801795758669,4.524986239942206e-07,6.0865983424603674e-05,0.002205247765114738,0.043873266420424134,0.001924863506397516,0.0002803842587172222,0.5,1.0,0.36
25,0.0023794999679757627,0.04519223317957586,0.002042337939757157,0.00033716202821860563,0.0008257099392683079,0.02333430277957587,0.0005444896862089221,0.0002812202530593857,0.0009170387909393234,0.002835103420424128,8.03781140450059e-06,0.0009090009795348228,0.28,1.0,0.8
26,0.0004872023334481383,0.018993826179575866,0.0003607654329399416,0.00012643690050819672,0.00010027180335523065,0.004776972779575864,2.2819468936808756e-05,7.74523344184219e-05,0.00030436886093974626,0.013730770779575865,0.0001885340662012544,0.00011583479473849186,1.0,1.0,1.0
27,0.004499619917813459,0.03418266977957586,0.0011684549132595287,0.00333116500455393,0.0031732572450802465,0.005943543579575867,3.532571028231751e-05,0.003137931534797929,0.0019584241111245417,0.007611034779575872,5.792785041591354e-05,0.001900496260708628,0.28,0.32,0.54
28,0.006889190149975039,0.06759094277957586,0.004568535545831898,0.002320654604143141,0.002586449599356858,0.03970732497957587,0.0015766716570336497,0.0010097779423232085,0.001680395591783691,0.028484056779575866,0.0008113414906221019,0.000869054101161589,0.72,1.0,0.62
29,0.004103589594725347,0.04839677797957586,0.002342248118804359,0.0017613414759209876,0.001998062407975621,0.034111259779575874,0.0011635780437497106,0.0008344843642259102,0.003697959258581714,0.05024923037957587,0.0025249851537396907,0.0011729741048420233,0.6,1.0,0.4
30,0.005411995487694408,0.06002804982042413,0.0036033667652433216,0.001808628722451086,0.0007334631558926459,0.014872905820424132,0.00022120332754320602,0.0005122598283494399,0.00031013930622989053,0.012686745620424133,0.00016095351443735093,0.0001491857917925396,0.38,1.0,1.0
31,0.0023307499149479386,0.04571234137957588,0.0020896181544028856,0.00024113176054505305,0.002791579127273212,0.04751235297957587,0.0022574236856558122,0.0005341554416173999,0.00040819867171690115,0.002938008379575871,8.631893238458035e-06,0.00039956677847844313,1.0,1.0,0.86
32,0.000264626874585426,0.014462299020424133,0.00020915809295616081,5.5468781629265196e-05,0.00041427739337747204,0.010551905820424135,0.00011134271644310075,0.0003029346769343713,0.0007595757341730424,0.008378338820424129,7.019656138982599e-05,0.0006893791727832164,1.0,0.98,0.96
33,0.0022518429768476457,0.027574775020424137,0.0007603682174270069,0.0014914747594206388,0.0019192524561501656,0.01758188957957587,0.00030912284118839856,0.001610129614961767,0.007224693474261385,0.08080059137957588,0.006528735567289191,0.000695957906972194,0.52,1.0,0.06
34,0.0054684396835523365,0.06575637057957588,0.004323900271798513,0.0011445394117538237,0.0009954650712362915,0.030247693779575865,0.0009149229789829924,8.054209225329904e-05,0.0008106122300337039,0.02569213197957586,0.0006600856456559446,0.0001505265843777593,0.64,1.0,0.94
35,0.006301193773339655,0.04280620957957586,0.0018323715785705718,0.004468822194769084,0.005319027432837814,0.04649958397957587,0.0021622113102736287,0.003156816122564185,0.011114710237617,0.07276222157957586,0.005294340889195295,0.005820369348421705,0.54,1.0,0.38
36,0.0027072865551637164,0.043843041579575866,0.0019222122949484183,0.0007850742602152981,0.0021482361372010214,0.010539466179575869,0.00011108034735042356,0.002037155789850598,0.0016043833170148686,0.03314986677957586,0.0010989136675036274,0.0005054696495112412,0.86,1.0,0.56
37,0.0022890904759893375,0.034665938979575865,0.0012017273253356773,0.0010873631506536602,0.0010137234099152647,0.028648768179575863,0.0008207519182070785,0.00019297149170818622,0.0020939774137368494,0.027316298979575868,0.0007461801899415776,0.0013477972237952718,0.84,1.0,0.6
38,0.004708633373858011,0.05331440757957586,0.002842426055561136,0.001866207318296875,0.0029179279133447573,0.04831119557957586,0.00233397161832803,0.0005839562950167273,0.001253732979881998,0.025287330979575872,0.0006394491080706176,0.0006142838718113804,0.6,0.62,0.74
39,0.005853924402674816,0.05230490297957588,0.0027358028757028456,0.0031181215269719706,0.0020053880420500586,0.02684276277957587,0.0007205339136405836,0.001284854128409475,0.0008808573172626123,0.002696904620424129,7.273294531665016e-06,0.0008735840227309473,0.46,1.0,0.82
40,0.00014820993722464444,0.0029929187795758655,8.957562821137888e-06,0.00013925237440350654,0.00037692975247205837,0.018139595979575866,0.00032904494230224493,4.788481016981344e-05,0.00044518887857427497,0.016017187420424135,0.00025655029286099313,0.00018863858571328184,1.0,1.0,0.98
41,0.0003443280841551778,0.017808303820424132,0.00031713568496053276,2.7192399194645052e-05,5.474895013487094e-05,0.0011044355795758653,1.2197779494330777e-06,5.352917218543786e-05,0.0003475025123249323,0.003877944820424127,1.5038456030254314e-05,0.000332464056294678,1.0,1.0,1.0
42,0.007197490031183076,0.07652726117957587,0.00585642170364702,0.0013410683275360564,0.003790630046409372,0.058474731379575866,0.0034192942099135542,0.0003713358364958179,0.003486395198930013,0.05314166297957588,0.0028240363442348254,0.0006623588546951875,0.58,1.0,0.32
43,0.0034783043411257546,0.054936207420424134,0.0030179868857398637,0.0004603174553858909,0.00018314107628852373,0.005816108779575868,3.382712133585949e-05,0.00014931395495266424,0.00217601201315768,0.04358120697957586,0.0018993216017966319,0.0002766904113610481,0.42,1.0,0.28
44,0.002113459887173356,0.013151928020424133,0.00017297321065441745,0.0019404866765189385,0.0013657793285561865,0.00032804277957587056,1.076120652318632e-07,0.0013656717164909546,0.0021637681139331385,0.0022558403795758693,5.088815818125002e-06,0.0021586792981150133,1.0,1.0,0.48
45,0.0013271948959370527,0.012786081420424138,0.00016348387808971533,0.0011637110178473373,0.0013791522056765153,0.011637503779575866,0.00013543149421964257,0.0012437207114568728,0.00471920457160147,0.038884146820424126,0.0015119768739522996,0.003207227697649171,0.9,0.9,0.3
46,0.001667444546656064,0.01970648057957587,0.00038834537683320083,0.0012790991698228634,0.002502472589281489,0.027263802179575868,0.0007433149092870459,0.001759157679994443,0.0020406076536799837,0.010962840779575864,0.00012018387795833154,0.0019204237757216522,1.0,1.0,0.54
47,0.0001488518938244832,0.0031059747795758614,9.64707933136132e-06,0.00013920481449312188,0.00014792962154701604,0.009023221220424128,8.141852119271229e-05,6.651110035430375e-05,0.0028580526087344667,0.04720759657957586,0.002228557174819982,0.0006294954339144845,1.0,1.0,0.46
48,0.0011494373867688829,0.005306688179575867,2.8160939435250225e-05,0.0011212764473336326,0.0022092505033054492,0.023427358179575867,0.0005488411112741403,0.001660409392031309,0.0014019697813191356,0.030127950379575864,0.0009076933940741855,0.0004942763872449501,0.74,0.82,0.5
49,0.0025856194593162117,0.032727865579575875,0.0010711131853947873,0.0015145062739214245,0.0012244891329461036,0.026640891979575875,0.0007097371254674302,0.0005147520074786734,0.009434312024871192,0.07967128237957588,0.006347513236006118,0.003086798788865074,0.58,1.0,0.18
50,0.0028985121349755856,0.04475220922042413,0.0020027602301086146,0.000895751904866971,0.0015962112135294948,0.02002705142042413,0.00040108278859631215,0.0011951284249331826,0.002486998753358117,0.04026118322042413,0.0016209628743085614,0.0008660358790495556,0.84,0.98,0.4
51,0.0004554879158377724,0.017336224020424132,0.0003005446632863307,0.00015494325255144172,0.000242024916477938,0.0029325838204241356,8.60004786381342e-06,0.0002334248686141246,0.00307895649835088,0.04546781302042414,0.0020673220208602505,0.0010116344774906295,0.7,1.0,0.36
52,0.015183120606710026,0.11105951897957585,0.012334216755974767,0.002848903850735258,0.0015684396928143441,0.036110501779575865,0.0013039683387727518,0.00026447135404159233,0.001030097940771039,0.026636317620424132,0.0007094934163761171,0.00032060452439492185,0.24,1.0,0.68
53,0.002618604189270951,0.04059867562042413,0.0016482524621324207,0.0009703517271385303,0.0008000722473197056,0.006964552379575864,4.850498984785584e-05,0.0007515672574718498,0.0019188927341364528,0.041315457379575864,0.0017069670184835497,0.000211925715652903,0.38,1.0,0.42
54,0.0042700643325846235,0.061299097620424126,0.0037575793690782866,0.0005124849635063369,0.002716977218997175,0.049058169220424136,0.00240670396725977,0.000310273251737405,0.001429762441327633,0.027285433779575863,0.0007444948965396196,0.0006852675447880135,0.56,0.56,0.7
55,0.0014458935952908819,0.02535435022042414,0.0006428430750999215,0.0008030505201909603,0.0026283979435042,0.029637493979575873,0.0008783810493893961,0.0017500168941148038,0.0006813187149987073,0.006062084020424133,3.6748862670681615e-05,0.0006445698523280257,1.0,1.0,0.78
56,0.001193015351908469,0.03189240742042413,0.0010171256510703242,0.00017588970083814472,8.202971678377644e-05,0.002396437220424129,5.7429113514341254e-06,7.628680543234232e-05,0.0005923506916404456,0.020290959220424138,0.00041172302608491533,0.00018062766555553027,0.7,1.0,0.98
57,0.00387279710376683,0.04842580337957586,0.0023450584329573407,0.0015277386708094894,0.0031220584373547067,0.045936417579575874,0.0021101544600451673,0.0010119039773095395,0.005951199363492798,0.05875356297957587,0.003451981162794988,0.0024992182006978105,0.68,1.0,0.44
58,0.0012236008494277602,0.010254297420424134,0.00010515061558651704,0.001118450233841243,0.0017209002491451947,0.024899154779575872,0.000619967908737276,0.0011009323404079186,0.0013007861779394411,0.018235870779575867,0.00033254698308938895,0.0009682391948500522,1.0,1.0,0.64
59,3.104997392747103e-05,0.004057506979575864,1.646336288930685e-05,1.4586611038164184e-05,0.0010710178839729622,0.03044815657957587,0.0009270902390943694,0.00014392764487859277,0.0021639381796529893,0.04169957437957587,0.0017388545034377801,0.0004250836762152092,1.0,1.0,0.5
60,0.002052466178145232,0.04141904302042412,0.0017155371247277442,0.0003369290534174876,0.00028421568956174455,0.014035221579575867,0.0001969874447877921,8.722824477395245e-05,0.002300562665088958,0.03932032157957586,0.0015460876891212588,0.000754474975967699,0.58,1.0,0.5
61,0.003158323935953038,0.05164981917957588,0.0026677038212828846,0.0004906201146701534,0.0010819545058998459,0.02921622277957586,0.0008535876735058073,0.0002283668323940386,0.0006849161302101673,0.0014398651795758677,2.0732117353550455e-06,0.0006828429184748123,0.82,1.0,0.8
62,0.00395467868989865,0.05274358937957588,0.0027818862206413094,0.0011727924692573406,0.0008384519314100196,0.024066276379575865,0.0005791856587781312,0.0002592662726318884,0.002424205777629366,0.04365481502042413,0.001905742874467448,0.0005184629031619178,0.52,0.74,0.46
63,0.0018167776213301023,0.03420209517957587,0.001169783314672767,0.0006469943066573353,0.0018768250953026461,0.03137624857957587,0.0009844689749273366,0.0008923561203753095,0.001641137117345051,0.03366836397957586,0.0011335587330612012,0.0005075783842838498,1.0,0.96,0.62
64,0.0022574787780247733,0.026607101579575864,0.0007079378544658685,0.001549540923558905,0.0006745078016048264,0.01625986617957587,0.0002643832481777152,0.00041012455342711126,0.0010049374521878434,0.027596484220424138,0.0007615659413281185,0.0002433715108597249,0.72,1.0,0.86
65,0.003330035585062684,0.04231496142042413,0.0017905559600119826,0.0015394796250507014,0.0013911702139760064,0.01931800622042413,0.0003731853643323453,0.001017984849643661,0.0019219994137934786,0.02445653822042413,0.0005981222617270663,0.0013238771520664122,0.56,0.6,0.52
66,0.004619643005235922,0.059892087779575866,0.003587062178596421,0.0010325808266395007,0.002818097206682765,0.04199247317957587,0.0017633678037373987,0.0010547294029453662,0.0020750928508687892,0.014089378820424135,0.00019851059554541617,0.001876582255323373,0.76,0.94,0.6
67,0.0014897042237889113,0.006659905979575864,4.435434765679035e-05,0.001445349876132121,0.0021904802620917414,0.019725438179575856,0.00038909291137626884,0.0018013873507154725,0.003276600567332832,0.03975164217957586,0.0015801930559730345,0.0016964075113597974,0.86,0.92,0.46
68,0.002257047440745017,0.04386680397957586,0.0019242964913825326,0.0003327509493624846,0.000763150384821927,0.024364862979575866,0.0005936465480135065,0.0001695038368084205,0.0032925077923940042,0.05101538577957585,0.00260256958623895,0.0006899382061550541,0.84,1.0,0.32
69,0.0010330977670639386,0.02171258902042412,0.0004714365219698421,0.0005616612450940965,0.0006011819788844298,0.021711415179575866,0.00047138554909991734,0.00012979642978451245,0.002528900587482868,0.03863404422042414,0.0014925893728256875,0.0010363112146571805,0.58,0.94,0.4
70,0.0025678671623378542,0.04614588597957586,0.0021294427928400163,0.0004384243694978379,0.0005674277213458565,0.018816139379575873,0.00035404710115162594,0.0002133806201942306,0.0002448117449245321,0.012637090379575864,0.00015969605326156884,8.511569166296326e-05,0.74,1.0,0.96
71,0.0008723265693326798,0.02640282097957587,0.0006971089556795316,0.00017521761365314823,0.00034693193782958453,0.00816415282042413,6.665339127523929e-05,0.00028027854655434525,0.0023798510499740406,0.03735528902042413,0.0013954176177994194,0.0009844334321746212,0.8,0.8,0.32
72,0.0029377019550537262,0.040425696179575865,0.0016342369116033747,0.0013034650434503516,0.0005344577392370844,0.009085949179575866,8.255447249383535e-05,0.00045190326674324904,0.0009211128881617902,0.01698486982042413,0.0002884858028167545,0.0006326270853450357,0.52,1.0,0.74
73,0.001342008544144036,0.035513561620424135,0.001261213058967662,8.079548517637395e-05,0.0007674597680099147,0.02370610622042413,0.0005619794721340317,0.000205480295875883,0.0044375181047559146,0.06449787382042413,0.004159975727355352,0.0002775423774005626,0.82,0.8,0.02
74,0.0016869834019549983,0.025196124620424133,0.0006348446958879432,0.0010521387060670553,0.00019874622878129802,0.0036772776204241292,1.3522370697672145e-05,0.00018522385808362587,0.0023921295624989136,0.024048052379575868,0.0005783088232508245,0.001813820739248089,1.0,1.0,0.54
75,0.001268728978220109,0.002382718620424132,5.677348024115879e-06,0.001263051630195993,0.001086135629807442,0.016709164579575865,0.0002791961809473527,0.0008069394488600894,0.0019700206168620977,0.00908216042042413,8.248563790231861e-05,0.001887534978959779,0.96,0.96,0.52
76,7.968555651592898e-05,0.008386153620424136,7.032757254535285e-05,9.357983970576132e-06,6.009409249360311e-05,0.0016567746204241328,2.7449021428815293e-06,5.7349190350721584e-05,0.0015384573078598698,0.03014455877957587,0.0009086944240153047,0.0006297628838445651,1.0,1.0,0.68
77,0.003964212958235704,0.056955571420424136,0.0032439371158270347,0.0007202758424086696,0.0003625490093472907,0.010976744420424131,0.0001204889180713123,0.00024206009127597842,0.00021294166032510516,0.003313902020424134,1.0981946600971157e-05,0.000201959713724134,0.36,0.86,1.0
