time,true_survival,initial_survival,targeted_survival,km_survival,initial_ci_lower,initial_ci_upper,targeted_ci_lower,targeted_ci_upper,km_ci_lower,km_ci_upper,initial_pointwise_coverage,targeted_pointwise_coverage,km_pointwise_coverage,targeted_model_coverage
12.56024894282037,0.3390497449712753,0.36841359820311614,0.36770572418700526,0.3479495785728314,0.2785901271931447,0.4582370692130876,0.2811591539974263,0.4542522943765842,0.31452698208158514,0.3813721750640776,True,True,True,0.6
12.909144746787604,0.32951005675425077,0.35889033398328196,0.3572993521270528,0.33460267478108136,0.2670941853076467,0.4506864826589172,0.26871615897366036,0.4458825452804453,0.30207802826732955,0.36712732129483316,True,True,True,0.6
13.258040550754835,0.3203842436515169,0.35020787485783356,0.3477809384048662,0.32799016748678544,0.25658955310149845,0.44382619661416867,0.2573064946441706,0.43825538216556176,0.30190472115901723,0.35407561381455366,True,True,True,0.6
13.606936354722068,0.3116528829193764,0.34147510276527365,0.33817802344624015,0.3197831511508204,0.2460093747709447,0.4369408307596026,0.24577843124286536,0.43057761564961494,0.2887868455318254,0.3507794567698154,True,True,True,0.6
13.9558321586893,0.3032973375152928,0.3335035173487128,0.3293865883608908,0.31432285935564586,0.23634568910039105,0.43066134559703456,0.23521908522536972,0.4235540914964119,0.27954707603653084,0.3490986426747609,True,True,True,0.6
14.304727962656534,0.2952997569118653,0.325850209015112,0.32092343306294574,0.3048783514014005,0.22706922734207485,0.4246311906881492,0.22505774719972355,0.41678911892616793,0.2696469252677993,0.3401097775350017,True,True,True,0.6
14.653623766623767,0.28764307072897,0.318138175145961,0.31237378247374187,0.2960835708695436,0.21773028652342413,0.41854606376849784,0.2148061561674625,0.4099414087800213,0.25679963928733085,0.3353675024517564,True,True,True,0.6
15.002519570590998,0.28031097657714377,0.3110852439741497,0.3045362928654516,0.2862452095636121,0.20920311689235155,0.4129673710559479,0.2054282919970657,0.4036442937338375,0.24365892946639878,0.3288314896608254,True,True,True,0.4
15.351415374558231,0.2732879233499018,0.30396945129881103,0.2966115312835972,0.2786493422696107,0.20061865277632715,0.4073202498212949,0.19597164844908757,0.3972514141181068,0.23477384761628378,0.3225248369229376,True,True,True,0.6
15.700311178525464,0.26655909104538406,0.29745350950522836,0.2893399293097955,0.2680141977079817,0.19277986195505076,0.40212715705540597,0.18732372574043782,0.3913561328791532,0.23387979078497922,0.30214860463098414,True,True,True,0.6
16.049206982492695,0.26011036804235055,0.29117876683300864,0.28232465990610467,0.2588869823599806,0.18525526908428872,0.3971022645817286,0.17901257768720863,0.3856367421250007,0.2312687157025537,0.2865052490174075,True,True,True,0.6
16.39810278645993,0.2539283266062497,0.2848367738890021,0.27522231476983905,0.25301521342954,0.17767864292207586,0.3919949048559283,0.17063571869712169,0.3798089108425564,0.20990352222660105,0.29612690463247887,True,True,True,0.6
16.74699859042716,0.24800019726180436,0.2790193407458763,0.2686975751095864,0.2511045458543135,0.1707577162151334,0.38728096527661926,0.16297768301198584,0.374417467207187,0.2090023645497443,0.29320672715888274,True,True,True,0.6
17.095894394394392,0.24231384254257127,0.2734077449543758,0.2623952097299163,0.23869074314641373,0.16411147046032104,0.3827040194484306,0.15561823838957758,0.36917218107025507,0.19794328589649582,0.2794382003963316,True,True,True,0.4
